,cve,cvss,desc,Patch,service
10,CVE-2008-2079,4.6,"MySQL 4.1.x before 4.1.24, 5.0.x before 5.0.60, 5.1.x before 5.1.24, and 6.0.x before 6.0.5 allows local users to bypass certain privilege checks by calling CREATE TABLE on a MyISAM table with modified (1) DATA DIRECTORY or (2) INDEX DIRECTORY arguments that are within the MySQL home data directory, which can point to tables that are created in the future.",http://www.securityfocus.com/bid/31681,MySQL
11,CVE-2012-0490,4.0,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.0.x, 5.1.x, and 5.5.x allows remote authenticated users to affect availability via unknown vectors.",No Solution found,MySQL
12,CVE-2012-0484,4.0,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.0.x, 5.1.x, and 5.5.x allows remote authenticated users to affect confidentiality via unknown vectors.",No Solution found,MySQL
13,CVE-2012-0102,4.0,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.0.x and 5.1.x allows remote authenticated users to affect availability via unknown vectors, a different vulnerability than CVE-2012-0087 and CVE-2012-0101.",No Solution found,MySQL
14,CVE-2012-0101,4.0,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.0.x and 5.1.x allows remote authenticated users to affect availability via unknown vectors, a different vulnerability than CVE-2012-0087 and CVE-2012-0102.",No Solution found,MySQL
15,CVE-2012-0087,4.0,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.0.x and 5.1.x allows remote authenticated users to affect availability via unknown vectors, a different vulnerability than CVE-2012-0101 and CVE-2012-0102.",No Solution found,MySQL
16,CVE-2010-3838,4.0,"MySQL 5.0 before 5.0.92, 5.1 before 5.1.51, and 5.5 before 5.5.6 allows remote authenticated users to cause a denial of service (server crash) via a query that uses the (1) GREATEST or (2) LEAST function with a mixed list of numeric and LONGBLOB arguments, which is not properly handled when the function's result is ""processed using an intermediate temporary table.""",https://bugzilla.redhat.com/show_bug.cgi?id=640858,MySQL
17,CVE-2010-3837,4.0,"MySQL 5.0 before 5.0.92, 5.1 before 5.1.51, and 5.5 before 5.5.6 allows remote authenticated users to cause a denial of service (server crash) via a prepared statement that uses GROUP_CONCAT with the WITH ROLLUP modifier, probably triggering a use-after-free error when a copied object is modified in a way that also affects the original object.",https://bugzilla.redhat.com/show_bug.cgi?id=640856,MySQL
18,CVE-2010-3836,4.0,"MySQL 5.0 before 5.0.92, 5.1 before 5.1.51, and 5.5 before 5.5.6 allows remote authenticated users to cause a denial of service (assertion failure and server crash) via vectors related to view preparation, pre-evaluation of LIKE predicates, and IN Optimizers.",https://bugzilla.redhat.com/show_bug.cgi?id=640845,MySQL
19,CVE-2010-3834,4.0,"Unspecified vulnerability in MySQL 5.0 before 5.0.92, 5.1 before 5.1.51, and 5.5 before 5.5.6 allows remote authenticated users to cause a denial of service (server crash) via vectors related to ""materializing a derived table that required a temporary table for grouping"" and ""user variable assignments.""",https://bugzilla.redhat.com/show_bug.cgi?id=640808,MySQL
20,CVE-2010-3682,4.0,"Oracle MySQL 5.1 before 5.1.49 and 5.0 before 5.0.92 allows remote authenticated users to cause a denial of service (mysqld daemon crash) by using EXPLAIN with crafted ""SELECT ... UNION ... ORDER BY (SELECT ... WHERE ...)"" statements, which triggers a NULL pointer dereference in the Item_singlerow_subselect::store function.",https://bugzilla.redhat.com/show_bug.cgi?id=628328,MySQL
21,CVE-2010-3677,4.0,Oracle MySQL 5.1 before 5.1.49 and 5.0 before 5.0.92 allows remote authenticated users to cause a denial of service (mysqld daemon crash) via a join query that uses a table with a unique SET column.,https://bugzilla.redhat.com/show_bug.cgi?id=628040,MySQL
22,CVE-2009-4019,4.0,"mysqld in MySQL 5.0.x before 5.0.88 and 5.1.x before 5.1.41 does not (1) properly handle errors during execution of certain SELECT statements with subqueries, and does not (2) preserve certain null_value flags during execution of statements that use the GeomFromWKB function, which allows remote authenticated users to cause a denial of service (daemon crash) via a crafted statement.",No Solution found,MySQL
23,CVE-2008-3963,4.0,"MySQL 5.0 before 5.0.66, 5.1 before 5.1.26, and 6.0 before 6.0.6 does not properly handle a b'' (b single-quote single-quote) token, aka an empty bit-string literal, which allows remote attackers to cause a denial of service (daemon crash) by using this token in a SQL statement.",http://www.debian.org/security/2009/dsa-1783,MySQL
24,CVE-2010-1626,3.6,"MySQL before 5.1.46 allows local users to delete the data and index files of another user's MyISAM table via a symlink attack in conjunction with the DROP TABLE command, a different vulnerability than CVE-2008-4098 and CVE-2008-7247.",http://bugs.mysql.com/bug.php?id=40980,MySQL
25,CVE-2012-0114,3.0,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.0.x, 5.1.x, and 5.5.x allows local users to affect confidentiality and integrity via unknown vectors.",http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=659687,MySQL
26,CVE-2012-0075,1.7,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.0.x, 5.1.x, and 5.5.x allows remote authenticated users to affect integrity via unknown vectors.",http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=659687,MySQL
